name,latitude,longitude,search_query,gmaps_link
Alfamart Sendangadi,-7.73948,110.36251,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sendangadi/@-7.73948,110.36251,17z"
Alfamart Sisingamangaraja,-7.8191293,110.3730365,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sisingamangaraja/@-7.8191293,110.3730365,17z"
Alfamart Soragan,-7.7892193,110.3480322,Alfamart,"https://www.google.com/maps/search/Alfamart%20Soragan/@-7.7892193,110.3480322,17z"
Alfamart Sorogenen Jogja,-7.8246952,110.3803381,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sorogenen%20Jogja/@-7.8246952,110.3803381,17z"
Alfamart Sorogenen Sleman,-7.783168,110.4418452,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sorogenen%20Sleman/@-7.783168,110.4418452,17z"
Alfamart Sosromenduran,-7.7914784,110.3658889,Alfamart,"https://www.google.com/maps/search/Alfamart%20Sosromenduran/@-7.7914784,110.3658889,17z"
Alfamart TamanSiswa 42,-7.8077389,110.3777293,Alfamart,"https://www.google.com/maps/search/Alfamart%20TamanSiswa%2042/@-7.8077389,110.3777293,17z"
Alfamart Tentara Pelajar Sleman,-7.7459227,110.3734595,Alfamart,"https://www.google.com/maps/search/Alfamart%20Tentara%20Pelajar%20Sleman/@-7.7459227,110.3734595,17z"
Alfamart Tentara Rakyat,-7.7872178,110.3577656,Alfamart,"https://www.google.com/maps/search/Alfamart%20Tentara%20Rakyat/@-7.7872178,110.3577656,17z"
Alfamart Timoho,-7.7879211,110.394634,Alfamart,"https://www.google.com/maps/search/Alfamart%20Timoho/@-7.7879211,110.394634,17z"
Alfamart Wahid Hasyim,-7.77229,110.401719,Alfamart,"https://www.google.com/maps/search/Alfamart%20Wahid%20Hasyim/@-7.77229,110.401719,17z"
Alfamart Wahidhasyim 2,-7.7670213,110.4024959,Alfamart,"https://www.google.com/maps/search/Alfamart%20Wahidhasyim%202/@-7.7670213,110.4024959,17z"
Alfamart Wates Km3,-7.8004883,110.3411322,Alfamart,"https://www.google.com/maps/search/Alfamart%20Wates%20Km3/@-7.8004883,110.3411322,17z"
Alfamart Wiratama,-7.7925473,110.3522525,Alfamart,"https://www.google.com/maps/search/Alfamart%20Wiratama/@-7.7925473,110.3522525,17z"
Alfamart kyai mojo,-7.7815103,110.3522982,Alfamart,"https://www.google.com/maps/search/Alfamart%20kyai%20mojo/@-7.7815103,110.3522982,17z"
Alfamart manukan,-7.7451524,110.4017045,Alfamart,"https://www.google.com/maps/search/Alfamart%20manukan/@-7.7451524,110.4017045,17z"
Yogyakarta Alfamart Kyai Mojo Yogyakarta,-7.7813412,110.3520271,Alfamart,"https://www.google.com/maps/search/Yogyakarta%20Alfamart%20Kyai%20Mojo%20Yogyakarta/@-7.7813412,110.3520271,17z"
alfaexpress stasiun tugu Jogja,-7.7896608,110.3623612,Alfamart,"https://www.google.com/maps/search/alfaexpress%20stasiun%20tugu%20Jogja/@-7.7896608,110.3623612,17z"
ALFAMIDI Imogiri Barat,-7.8608653,110.3743105,Alfamidi,"https://www.google.com/maps/search/ALFAMIDI%20Imogiri%20Barat/@-7.8608653,110.3743105,17z"
ALFAMIDI JAMBON,-7.770907,110.3583046,Alfamidi,"https://www.google.com/maps/search/ALFAMIDI%20JAMBON/@-7.770907,110.3583046,17z"
ALFAMIDI Melati Wetan,-7.7914949,110.3874575,Alfamidi,"https://www.google.com/maps/search/ALFAMIDI%20Melati%20Wetan/@-7.7914949,110.3874575,17z"
ALFAMIDI PERUMNAS 2,-7.7670004,110.4055025,Alfamidi,"https://www.google.com/maps/search/ALFAMIDI%20PERUMNAS%202/@-7.7670004,110.4055025,17z"
ALFAMIDI RAYA SOLO KM13,-7.7744934,110.4640874,Alfamidi,"https://www.google.com/maps/search/ALFAMIDI%20RAYA%20SOLO%20KM13/@-7.7744934,110.4640874,17z"
ALFAMIDI TAMAN SISWA 2,-7.8068245,110.3775341,Alfamidi,"https://www.google.com/maps/search/ALFAMIDI%20TAMAN%20SISWA%202/@-7.8068245,110.3775341,17z"
AlfaMidi Super Tegalrejo,-7.7919904,110.3533359,Alfamidi,"https://www.google.com/maps/search/AlfaMidi%20Super%20Tegalrejo/@-7.7919904,110.3533359,17z"
Alfamidi,-7.7397562,110.4512283,Alfamidi,"https://www.google.com/maps/search/Alfamidi/@-7.7397562,110.4512283,17z"
Alfamidi Condongcatur,-7.751746,110.3986054,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Condongcatur/@-7.751746,110.3986054,17z"
Alfamidi Damai,-7.7315973,110.384182,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Damai/@-7.7315973,110.384182,17z"
Alfamidi Gondokusuman,-7.7834736,110.3792811,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Gondokusuman/@-7.7834736,110.3792811,17z"
Alfamidi Jl. Wonosari KM 9,-7.8242988,110.4289919,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Jl.%20Wonosari%20KM%209/@-7.8242988,110.4289919,17z"
Alfamidi Kaliurang KM.5,-7.7610549,110.3807444,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Kaliurang%20KM.5/@-7.7610549,110.3807444,17z"
Alfamidi Kasihan,-7.8289242,110.3323889,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Kasihan/@-7.8289242,110.3323889,17z"
Alfamidi Kebon Agung,-7.7316928,110.3245584,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Kebon%20Agung/@-7.7316928,110.3245584,17z"
Alfamidi Ki Ageng Pemanahan,-7.8338008,110.3811333,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Ki%20Ageng%20Pemanahan/@-7.8338008,110.3811333,17z"
Alfamidi Ki Penjawi,-7.8134452,110.3960727,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Ki%20Penjawi/@-7.8134452,110.3960727,17z"
Alfamidi Krapyak Sleman,-7.6940385,110.3450734,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Krapyak%20Sleman/@-7.6940385,110.3450734,17z"
Alfamidi Palagan,-7.7367984,110.3768704,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Palagan/@-7.7367984,110.3768704,17z"
Alfamidi Perumnas 1,-7.7787704,110.4056843,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Perumnas%201/@-7.7787704,110.4056843,17z"
Alfamidi Pleret,-7.832912,110.412393,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Pleret/@-7.832912,110.412393,17z"
Alfamidi Pringgokusuman,-7.7905829,110.3618573,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Pringgokusuman/@-7.7905829,110.3618573,17z"
Alfamidi Re Martadinata,-7.8010797,110.3496553,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Re%20Martadinata/@-7.8010797,110.3496553,17z"
Alfamidi Sorowajan,-7.7906643,110.3984725,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Sorowajan/@-7.7906643,110.3984725,17z"
Alfamidi Super Kaliurang,-7.728455,110.3986,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Super%20Kaliurang/@-7.728455,110.3986,17z"
Alfamidi Taman Siswa 1,-7.8120229,110.376572,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Taman%20Siswa%201/@-7.8120229,110.376572,17z"
Alfamidi Timoho Yogyakarta,-7.7904861,110.3935499,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Timoho%20Yogyakarta/@-7.7904861,110.3935499,17z"
Alfamidi Tritunggal꧋ꦄꦭ꧀ꦥ꦳ꦩꦶꦣꦶꦠꦿꦶꦠꦸꦁꦒꦭ꧀,-7.8249496,110.3772905,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Tritunggal%EA%A7%8B%EA%A6%84%EA%A6%AD%EA%A7%80%EA%A6%A5%EA%A6%B3%EA%A6%A9%EA%A6%B6%EA%A6%A3%EA%A6%B6%EA%A6%A0%EA%A6%BF%EA%A6%B6%EA%A6%A0%EA%A6%B8%EA%A6%81%EA%A6%92%EA%A6%AD%EA%A7%80/@-7.8249496,110.3772905,17z"
Alfamidi Veteran Jogja,-7.8165213,110.3853523,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Veteran%20Jogja/@-7.8165213,110.3853523,17z"
Alfamidi Warak Lor,-7.7148581,110.3404538,Alfamidi,"https://www.google.com/maps/search/Alfamidi%20Warak%20Lor/@-7.7148581,110.3404538,17z"
Kopi Kenangan - Alfamidi Super Kaliurang KM 9,-7.7284679,110.3986583,Alfamidi,"https://www.google.com/maps/search/Kopi%20Kenangan%20-%20Alfamidi%20Super%20Kaliurang%20KM%209/@-7.7284679,110.3986583,17z"
LAWSON X ALFAMIDI TAMANSISWA 1,-7.8120188,110.3765656,Alfamidi,"https://www.google.com/maps/search/LAWSON%20X%20ALFAMIDI%20TAMANSISWA%201/@-7.8120188,110.3765656,17z"
Lawson X Alfamidi Condongcatur,-7.7517942,110.3988151,Alfamidi,"https://www.google.com/maps/search/Lawson%20X%20Alfamidi%20Condongcatur/@-7.7517942,110.3988151,17z"
TK alfamidi-tk leminerale,-7.7926438,110.3657357,Alfamidi,"https://www.google.com/maps/search/TK%20alfamidi-tk%20leminerale/@-7.7926438,110.3657357,17z"
ATM BCA Cirkle K Kaliurang Bawah,-7.7638079,110.3792645,Circle K,"https://www.google.com/maps/search/ATM%20BCA%20Cirkle%20K%20Kaliurang%20Bawah/@-7.7638079,110.3792645,17z"
Bakpia Bro Kiss Jogja Outlet Malio Pendopo No 21(Samping Circle K pasar kembang),-7.7900403,110.3648476,Circle K,"https://www.google.com/maps/search/Bakpia%20Bro%20Kiss%20Jogja%20Outlet%20Malio%20Pendopo%20No%2021%28Samping%20Circle%20K%20pasar%20kembang%29/@-7.7900403,110.3648476,17z"
Circle K,-7.8046381,110.383972,Circle K,"https://www.google.com/maps/search/Circle%20K/@-7.8046381,110.383972,17z"
Circle K AM Sangaji,-7.77423,110.3679908,Circle K,"https://www.google.com/maps/search/Circle%20K%20AM%20Sangaji/@-7.77423,110.3679908,17z"
Circle K Ahmad Dahlan,-7.8012109,110.3631536,Circle K,"https://www.google.com/maps/search/Circle%20K%20Ahmad%20Dahlan/@-7.8012109,110.3631536,17z"
Circle K Ahmad Dahlan (Purwodiningratan),-7.8010532,110.358068,Circle K,"https://www.google.com/maps/search/Circle%20K%20Ahmad%20Dahlan%20%28Purwodiningratan%29/@-7.8010532,110.358068,17z"
Circle K Babarsari,-7.7756168,110.4156899,Circle K,"https://www.google.com/maps/search/Circle%20K%20Babarsari/@-7.7756168,110.4156899,17z"
