Kecamatan;Kelurahan;latitude;longitude;search_query;gmaps_link
Haur Gading;Haur Gading;;;;
Haur Gading;Sungai Limas;;;;
Haur Gading;Pihaung;;;;
Haur Gading;Keramat;;;;
Haur Gading;Teluk Haur;;;;
Haur Gading;Waringin;;;;
Haur Gading;Sungai Binuang;;;;
Haur Gading;Panawakan;;;;
Haur Gading;Tangkawang;;;;
Haur Gading;Tuhuran;;;;
Liang Anggang;Landasan Ulin Tengah;;;;
Liang Anggang;Landasan Ulin Utara;;;;
Liang Anggang;Landasan Ulin Barat;;;;
Liang Anggang;Landasan Ulin Selatan;;;;
Sungai Tabukan;Tambalang Raya;;;;
Sungai Tabukan;Rantau Bujur Hilir;;;;
Sungai Tabukan;Teluk Cati;;;;
Sungai Tabukan;Galagah;;;;
Sungai Tabukan;Galagah Hulu;;;;
Sungai Tabukan;Nelayan;;;;
Sungai Tabukan;Sungai Tabukan;;;;
Sungai Tabukan;Pematang Benteng;;;;
Sungai Tabukan;Pematang Benteng Hilir;;;;
Sungai Tabukan;Pasar Sabtu;;;;
Sungai Tabukan;Hilir Mesjid;;;;
Sungai Tabukan;Gampa Raya;;;;
Sungai Tabukan;Banua Hanyar;;;;
Sungai Tabukan;Sungai Haji;;;;
Sungai Tabukan;Rantau Bujur Hulu;;;;
Sungai Tabukan;Rantau Bujur Tengah;;;;
Sungai Tabukan;Rantau Bujur Darat;;;;
Banjang;Pawalutan;;;;
Banjang;Banjang;;;;
Banjang;Beringin;;;;
Banjang;Kalintamui;;;;
Banjang;Pelanjungan Sari;;;;
Banjang;Kaludan Besar;;;;
Banjang;Kaludan Kecil;;;;
Banjang;Rantau Bujur;;;;
Banjang;Karias Dalam;;;;
Banjang;Sungai Bahadangan;;;;
Banjang;Lok Bangkai;;;;
Banjang;Patarikan;;;;
Banjang;Teluk Buluh;;;;
Banjang;Pandulangan;;;;
Banjang;Garunggang;;;;
Banjang;Danau Terati;;;;
Banjang;Baruh Tabing;;;;
Banjang;Teluk Sarikat;;;;
Banjang;Murung Padang;;;;
Banjang;Pulau Damar;;;;
Danau Panggang;Sungai Namang;;;;
Danau Panggang;Sungai Panangah;;;;
Danau Panggang;Sarang Burung;;;;
Danau Panggang;Telaga Mas;;;;
Danau Panggang;Manarap Hulu;;;;
Danau Panggang;Manarap;;;;
Danau Panggang;Longkong;;;;
Danau Panggang;Bitin;;;;
Danau Panggang;Baru;;;;
Danau Panggang;Teluk Mesjid;;;;
Danau Panggang;Darussalam;;;;
Danau Panggang;Palukahan;;;;
Danau Panggang;Pandamaan;;;;
Danau Panggang;Danau Panggang;;;;
Danau Panggang;Pararain;;;;
Danau Panggang;Rintisan;;;;
Kandangan;Jambu Hilir;;;;
Kandangan;Tibung Raya;;;;
Kandangan;Amawang Kanan;;;;
Kandangan;Sungai Paring;;;;
Kandangan;Amawang Kiri;;;;
Kandangan;Bariang;;;;
Kandangan;Amawang Kiri Muka;;;;
Kandangan;Kandangan Barat;;;;
Kandangan;Kandangan Kota;;;;
Kandangan;Kandangan Utara;;;;
Kandangan;Gambah Luar Muka;;;;
Kandangan;Gambah Luar;;;;
Kandangan;Gambah Dalam;;;;
Kandangan;Gambah Dalam Barat;;;;
Kandangan;Lungau;;;;
Kandangan;Sungai Kupang;;;;
Kandangan;Bangkau;;;;
Kandangan;Baluti;;;;
Kuranji;Indraloka Jaya;;;;
Kuranji;Karang Intan;;;;
Kuranji;Mustika;;;;
Kuranji;Giri Mulya;;;;
Kuranji;Kuranji;;;;
Kuranji;Waringin Tunggal;;;;
Kuranji;Ringkit;;;;
Mantewe;Mantewe;;;;
Mantewe;Maju Mulyo;;;;
Mantewe;Sidomulyo;;;;
Mantewe;Sari Mulya;;;;
Mantewe;Bulu Rejo;;;;
Mantewe;Sukadamai;;;;
Mantewe;Sepakat;;;;
Mantewe;Dukuh Rejo;;;;
Mantewe;Rejosari;;;;
Mantewe;Emil Baru;;;;
Mantewe;Mentawakan Mulia;;;;
Mantewe;Gunung Raya;;;;
Cempaka;Palam;;;;
Cempaka;Bangkal;;;;
Cempaka;Sungai Tiung;;;;
Cempaka;Cempaka;;;;
Daha Selatan;Muning Dalam;;;;
Daha Selatan;Muning Baru;;;;
Daha Selatan;Muning Tengah;;;;
Daha Selatan;Samuda;;;;
Daha Selatan;Banua Hanyar;;;;
Daha Selatan;Parigi;;;;
Daha Selatan;Baruh Jaya;;;;
Daha Selatan;Tambangan;;;;
Daha Selatan;Habirau Tengah;;;;
Daha Selatan;Habirau;;;;
Daha Selatan;Sungai Pinang;;;;
Daha Selatan;Tumbukan Banyu;;;;
Daha Selatan;Banjar Baru;;;;
Daha Selatan;Bayanan;;;;
Daha Selatan;Pandan Sari;;;;
Daha Selatan;Pihanin Raya;;;;
Karang Intan;Kiram;;;;
