kecamatan,kabupaten,search_keyword,year_found,publication_title,publication_url,pdf_download_url,pdf_filename,status,error_message
Limpasu,Hulu Sungai Tengah,,,,,,,error,BPS subdomain not found for hulu sungai tengah
Danau Panggang,Hulu Sungai Utara,,,,,,,error,BPS subdomain not found for hulu sungai utara
Babirik,Hulu Sungai Utara,,,,,,,error,BPS subdomain not found for hulu sungai utara
Sungai Pandan,Hulu Sungai Utara,,,,,,,error,BPS subdomain not found for hulu sungai utara
Amuntai Selatan,Hulu Sungai Utara,,,,,,,error,BPS subdomain not found for hulu sungai utara
Amuntai Tengah,Hulu Sungai Utara,,,,,,,error,BPS subdomain not found for hulu sungai utara
Amuntai Utara,Hulu Sungai Utara,,,,,,,error,BPS subdomain not found for hulu sungai utara
Banjang,Hulu Sungai Utara,,,,,,,error,BPS subdomain not found for hulu sungai utara
Haur Gading,Hulu Sungai Utara,,,,,,,error,BPS subdomain not found for hulu sungai utara
Paminggir,Hulu Sungai Utara,,,,,,,error,BPS subdomain not found for hulu sungai utara
Sungai Tabukan,Hulu Sungai Utara,,,,,,,error,BPS subdomain not found for hulu sungai utara
Banua Lawas,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Kelua,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Tanta,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Tanjung,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Haruai,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Murung Pudak,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Muara Uya,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Muara Harus,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Upau,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Jaro,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Bintang Ara,Tabalong,,,,,,,error,BPS subdomain not found for tabalong
Batu Licin,Tanah Bumbu,,,,,,,error,BPS subdomain not found for tanah bumbu
Kusan Hilir,Tanah Bumbu,,,,,,,error,BPS subdomain not found for tanah bumbu
Sungai Loban,Tanah Bumbu,,,,,,,error,BPS subdomain not found for tanah bumbu
Satui,Tanah Bumbu,,,,,,,error,BPS subdomain not found for tanah bumbu
Kusan Hulu,Tanah Bumbu,,,,,,,error,BPS subdomain not found for tanah bumbu
Angsana,Tanah Bumbu,,,,,,,error,BPS subdomain not found for tanah bumbu
Kuranji,Tanah Bumbu,,,,,,,error,BPS subdomain not found for tanah bumbu
Karang Bintang,Tanah Bumbu,,,,,,,error,BPS subdomain not found for tanah bumbu
Simpang Empat,Tanah Bumbu,,,,,,,error,BPS subdomain not found for tanah bumbu
Mantewe,Tanah Bumbu,,,,,,,error,BPS subdomain not found for tanah bumbu
Juai,Balangan,,,,,,,error,BPS subdomain not found for balangan
Halong,Balangan,,,,,,,error,BPS subdomain not found for balangan
Awayan,Balangan,,,,,,,error,BPS subdomain not found for balangan
Batumandi,Balangan,,,,,,,error,BPS subdomain not found for balangan
Lampihong,Balangan,,,,,,,error,BPS subdomain not found for balangan
Paringin,Balangan,,,,,,,error,BPS subdomain not found for balangan
Paringin Selatan,Balangan,,,,,,,error,BPS subdomain not found for balangan
Tebing Tinggi,Balangan,,,,,,,error,BPS subdomain not found for balangan
Banjarmasin Selatan,Kota Banjarmasin,,,,,,,error,BPS subdomain not found for kota banjarmasin
Banjarmasin Timur,Kota Banjarmasin,,,,,,,error,BPS subdomain not found for kota banjarmasin
Banjarmasin Barat,Kota Banjarmasin,,,,,,,error,BPS subdomain not found for kota banjarmasin
Banjarmasin Utara,Kota Banjarmasin,,,,,,,error,BPS subdomain not found for kota banjarmasin
Banjarmasin Tengah,Kota Banjarmasin,,,,,,,error,BPS subdomain not found for kota banjarmasin
Landasan Ulin,Kota Banjar Baru,,,,,,,error,BPS subdomain not found for kota banjar baru
Cempaka,Kota Banjar Baru,,,,,,,error,BPS subdomain not found for kota banjar baru
Banjarbaru Utara,Kota Banjar Baru,,,,,,,error,BPS subdomain not found for kota banjar baru
Banjarbaru Selatan,Kota Banjar Baru,,,,,,,error,BPS subdomain not found for kota banjar baru
Liang Anggang,Kota Banjar Baru,,,,,,,error,BPS subdomain not found for kota banjar baru
