Kecamatan;Kelurahan;latitude;longitude;street_name;search_query;gmaps_link;location_name_maps;location_name_structured
Mandastana;Tabing Rimbah;-3.32;115.44;RM84+7JP, Tabing Rimbah, Kec. Mandastana, Kabupaten Barito Kuala, Kalimantan Selatan 70581;Kantor Kelurahan Tabing Rimbah Mandastana, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Tabing Rimbah;Gedung_Kelurahan_Tabing_Rimbah
Mandastana;Bangkit Baru;-3.32;115.44;QMH6+HJ7, Unnamed Road, Bangkit Baru, Kec. Mandastana, Kabupaten Barito Kuala, Kalimantan Selatan 70581;Kantor Kelurahan Bangkit Baru Mandastana, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Bangkit Baru;Gedung_Kelurahan_Bangkit_Baru
Mandastana;Tanipah;-3.2275783;114.6438567;;Kantor Kelurahan Tanipah Mandastana, Kalimantan Selatan;https://www.google.com/maps?q=-3.2275783,114.6438567;Tanipah;Gedung_Kelurahan_Tanipah
Mandastana;Tatah Alayung;-3.32;115.44;PMWX+M4J, RT.02/RW.01, Tatah Alayung, Kec. Mandastana, Kabupaten Barito Kuala, Kalimantan Selatan 70581;Kantor Kelurahan Tatah Alayung Mandastana, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Desa Tatah Alayung;Gedung_Kelurahan_Tatah_Alayung
Mandastana;Antasan Segara;-3.3154499;114.551064;MHMP+RWV, Jl. Batu Piring No.1, Antasan Besar, Kec. Banjarmasin Tengah, Kota Banjarmasin, Kalimantan Selatan 70123;Kantor Kelurahan Antasan Segara Mandastana, Kalimantan Selatan;https://www.google.com/maps?q=-3.3154499,114.551064;Kelurahan Antasan Besar;Gedung_Kelurahan_Antasan_Segara
Mandastana;Pantai Hambawang;-3.2069623;114.6516845;QMVQ+639, Pantai Hambawang, Kec. Mandastana, Kabupaten Barito Kuala, Kalimantan Selatan 70581;Kantor Kelurahan Pantai Hambawang Mandastana, Kalimantan Selatan;https://www.google.com/maps?q=-3.2069623,114.6516845;Kantor Desa Pantai Hambawang;Gedung_Kelurahan_Pantai_Hambawang
Paringin;Lamida Bawah;-3.32;115.44;PG2G+CGQ, Paran, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Lamida Bawah Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-3.32,115.44;Kantor Kepala Desa Lamida Bawah;Gedung_Kelurahan_Lamida_Bawah
Paringin;Lok Batung;-2.3516766;115.4389252;JFXF+8XH, Lingsir, Kec. Paringin Sel., Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Lok Batung Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.3516766,115.4389252;Kantor Kelurahan Batu Piring;Gedung_Kelurahan_Lok_Batung
Paringin;Babayau;-2.304472;115.4798811;MGW8+7C, Mangkayahu, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Babayau Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.304472,115.4798811;Kantor Desa Babayau;Gedung_Kelurahan_Babayau
Paringin;Paran;-2.308833;115.4715834;MGR5+F36, Murung Ilung, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Paran Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.308833,115.4715834;kantor desa paran;Gedung_Kelurahan_Paran
Paringin;Mangkayahu;-2.3125003;115.4648986;Jl. Gunung Pandai Desa Mangkayahu Rt 001, Balida, Kec. Paringin, Kabupaten Balangan, Kalimantan Selatan 71662;Kantor Kelurahan Mangkayahu Paringin, Kalimantan Selatan;https://www.google.com/maps?q=-2.3125003,115.4648986;Kantor Desa Mangkayahu;Gedung_Kelurahan_Mangkayahu
