province_code,province_name,regency_code,regency_name,regency_type,district_code,district_name,village_code,village_name,village_type
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040007,Langkang Baru,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040008,Karang Sari Indah,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040009,Sungai Limau,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040010,Langkang Lama,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040011,Kulipak,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040012,Berangas,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040013,Teluk Mesjid,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302040,Pulau Laut Timur,6302040014,Teluk Gosong,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302050,Pulau Sebuku,6302050001,Sekapung,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302050,Pulau Sebuku,6302050002,Kanibungan,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302050,Pulau Sebuku,6302050003,Mandin,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302050,Pulau Sebuku,6302050004,Belambus,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302050,Pulau Sebuku,6302050005,Sarakaman,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302050,Pulau Sebuku,6302050006,Sungai Bali,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302050,Pulau Sebuku,6302050007,Rampa,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060007,Megasari,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060008,Sebelimbingan,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060009,Gunung Sari,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060010,Stagen,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060011,Gunung Ulin,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060012,Sungai Taib,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060013,Semayap,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060014,Dirgahayu,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060015,Baharu Selatan,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060016,Kotabaru Hulu,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060017,Rampa,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060018,Sebatung,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060019,Kotabaru Tengah,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060020,Kotabaru Hilir,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060021,Hilir Muara,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060022,Batuah,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060023,Baharu Utara,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060024,Tirawan,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060025,Gedambaan,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060026,Sarang Tiung,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302060,Pulau Laut Utara,6302060027,Sigam,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302061,Pulau Laut Tengah,6302061001,Semisir,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302061,Pulau Laut Tengah,6302061002,Sungai Pasir,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302061,Pulau Laut Tengah,6302061003,Salino,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302061,Pulau Laut Tengah,6302061004,Mekar Pura,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302061,Pulau Laut Tengah,6302061005,Selaru,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302061,Pulau Laut Tengah,6302061006,Sungup Kanan,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302061,Pulau Laut Tengah,6302061007,Pantai Baru,Kelurahan
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302120,Kelumpang Selatan,6302120009,Suka Maju,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302120,Kelumpang Selatan,6302120010,Pantai,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302120,Kelumpang Selatan,6302120011,Tanjung Pangga,Desa
63,Kalimantan Selatan,6302,Kota Baru,Kabupaten,6302120,Kelumpang Selatan,6302120012,Pembelancanan,Desa
